,Metabolites,Concentration,Group
172,Allantoin,185,0
173,Allantoin,186,0
174,Allantoin,187,0
175,Allantoin,188,0
176,Allantoin,189,0
177,Allantoin,190,0
178,Allantoin,191,0
179,Allantoin,192,0
180,Allantoin,193,0
181,Betaine,8,0
182,Betaine,9,0
183,Betaine,10,0
184,Carnitine,119,0
185,Carnitine,120,0
186,Carnitine,121,0
187,Carnitine,122,0
188,Carnitine,123,0
189,Carnitine,124,0
190,Carnitine,125,0
191,Carnitine,126,0
192,Carnitine,127,0
193,Carnitine,128,0
194,Carnitine,129,0
195,Carnitine,130,0
196,Carnitine,131,0
197,Carnitine,132,0
198,Carnitine,133,0
199,Carnitine,134,0
200,Carnitine,135,0
201,Carnitine,136,0
202,Carnitine,137,0
203,Carnitine,138,0
204,Carnitine,139,0
205,Carnitine,140,0
206,Carnitine,141,0
207,Carnitine,142,0
208,Carnitine,143,0
209,Carnitine,144,0
210,Carnitine,145,0
211,Choline,24,0
212,Choline,25,0
213,Choline,26,0
214,Choline,27,0
215,Choline,28,0
216,Choline,29,0
217,Choline,30,0
218,Creatine,400,0
219,Creatine,401,0
220,Creatine,402,0
221,Creatine,403,0
222,Creatine,404,0
223,Creatine,405,0
224,Creatine,406,0
225,Creatine,407,0
226,Creatine,408,0
227,Creatine,409,0
228,Creatine,410,0
229,Creatine,411,0
230,Creatine,412,0
231,Creatine,413,0
232,Creatine,414,0
233,Creatine,415,0
234,Creatine,416,0
235,Creatine,417,0
236,Creatine,418,0
237,Creatine,419,0
238,Creatine,420,0
239,Creatine,421,0
240,Creatine,422,0
241,Creatine,423,0
242,Creatine,424,0
243,Creatine,425,0
244,Creatine,426,0
245,Creatine,427,0
246,Creatine,428,0
247,Creatine,429,0
248,Creatine,430,0
249,Creatine,431,0
250,Creatine,432,0
251,Creatine,433,0
252,Creatine,434,0
253,Creatine,435,0
254,Creatine,436,0
255,Creatine,437,0
256,Creatine,438,0
257,Creatine,439,0
258,Creatine,440,0
259,Creatine,441,0
260,Creatine,442,0
261,Creatine,443,0
262,Creatine,444,0
263,Creatine,445,0
264,Creatine,446,0
265,Creatine,447,0
266,Creatine,448,0
267,Creatine,449,0
268,Creatine,450,0
269,Creatine,451,0
270,Creatine,452,0
271,Creatine,453,0
272,Creatine,454,0
273,Creatine,455,0
274,Creatine,456,0
275,Creatine,457,0
276,Creatine,458,0
277,Creatine,459,0
278,Creatine,460,0
279,Creatine,461,0
280,Creatine,462,0
281,Creatine,463,0
282,Creatine,464,0
283,Creatine,465,0
284,Creatine,466,0
285,Creatine,467,0
286,Creatine,468,0
287,Creatine,469,0
288,Creatine,470,0
289,Creatine,471,0
290,Creatine,472,0
291,Creatine,473,0
292,Creatine,474,0
293,Creatine,475,0
294,Creatine,476,0
295,Creatine,477,0
296,Creatine,478,0
297,Creatine,479,0
298,Creatine,480,0
299,Creatine,481,0
300,Creatine,482,0
301,Creatine,483,0
302,Creatine,484,0
303,Creatine,485,0
304,Creatine,486,0
305,Creatine,487,0
306,Creatine,488,0
307,Dimethylamine,31,0
308,Dimethylamine,32,0
309,Dimethylamine,33,0
310,Dimethylamine,34,0
311,Dimethylamine,35,0
312,Dimethylamine,36,0
313,Dimethylamine,37,0
314,Formate,68,0
315,Formate,69,0
316,Formate,70,0
317,Formate,71,0
318,Formate,72,0
319,Formate,73,0
320,Formate,74,0
321,Formate,75,0
322,Formate,76,0
323,Formate,77,0
324,Formate,78,0
325,Formate,79,0
326,Formate,80,0
327,Formate,81,0
328,Formate,82,0
329,Formate,83,0
330,Formate,84,0
331,Glucose,259,0
332,Glucose,260,0
333,Glucose,261,0
334,Glucose,262,0
335,Glucose,263,0
336,Glucose,264,0
337,Glucose,265,0
338,Glucose,266,0
339,Glucose,267,0
340,Glucose,268,0
341,Glucose,269,0
342,Glucose,270,0
343,Glucose,271,0
344,Glucose,272,0
345,Glucose,273,0
346,Glucose,274,0
347,Glucose,275,0
348,Glucose,276,0
349,Glucose,277,0
350,Glucose,278,0
351,Glucose,279,0
352,Glucose,280,0
353,Glucose,281,0
354,Glucose,282,0
355,Glucose,283,0
356,Glucose,284,0
357,Glucose,285,0
358,Glucose,286,0
359,Glucose,287,0
360,Glucose,288,0
361,Glucose,289,0
362,Glucose,290,0
363,Glucose,291,0
364,Glucose,292,0
365,Glucose,293,0
366,Glucose,294,0
367,Glucose,295,0
368,Glucose,296,0
369,Glucose,297,0
370,Glucose,298,0
371,Glucose,299,0
372,Glucose,300,0
373,Glucose,301,0
374,Glucose,302,0
375,Glucose,303,0
376,Glucose,304,0
377,Glucose,305,0
378,Glucose,306,0
379,Glucose,307,0
380,Glucose,308,0
381,Glucose,309,0
382,Glucose,310,0
383,Glucose,311,0
384,Glucose,312,0
385,Glucose,313,0
386,Glucose,314,0
387,Glucose,315,0
388,Glucose,316,0
389,Glucose,317,0
390,Glycerol,145,0
391,Glycerol,146,0
392,Glycerol,147,0
393,Glycerol,148,0
394,Glycerol,149,0
395,Glycerol,150,0
396,Glycerol,151,0
397,Glycerol,152,0
398,Glycerol,153,0
399,Glycerol,154,0
400,Glycerol,155,0
401,Glycerol,156,0
402,Glycerol,157,0
403,Glycerol,158,0
404,Glycerol,159,0
405,Glycerol,160,0
406,Glycerol,161,0
407,Glycerol,162,0
408,Glycerol,163,0
409,Glycerol,164,0
410,Glycerol,165,0
411,Glycerol,166,0
412,Glycerol,167,0
413,Glycerol,168,0
414,Glycerol,169,0
415,Glycerol,170,0
416,Glycerol,171,0
417,Glycerol,172,0
418,Glycerol,173,0
419,Glycerol,174,0
420,Glycerol,175,0
421,Glycerol,176,0
422,Glycerol,177,0
423,Glycine,30,0
424,Glycine,31,0
425,Glycine,32,0
426,Glycine,33,0
427,Glycine,34,0
428,Glycine,35,0
429,Glycine,36,0
430,Guanidoacetate,19,0
431,Guanidoacetate,20,0
432,Guanidoacetate,21,0
433,Guanidoacetate,22,0
434,Guanidoacetate,23,0
435,Hippurate,275,0
436,Hippurate,276,0
437,Hippurate,277,0
438,Hippurate,278,0
439,Hippurate,279,0
440,Hippurate,280,0
441,Hippurate,281,0
442,Hippurate,282,0
443,Hippurate,283,0
444,Hippurate,284,0
445,Hippurate,285,0
446,Hippurate,286,0
447,Hippurate,287,0
448,Hippurate,288,0
449,Hippurate,289,0
450,Hippurate,290,0
451,Hippurate,291,0
452,Hippurate,292,0
453,Hippurate,293,0
454,Hippurate,294,0
455,Hippurate,295,0
456,Hippurate,296,0
457,Hippurate,297,0
458,Hippurate,298,0
459,Hippurate,299,0
460,Hippurate,300,0
461,Hippurate,301,0
462,Hippurate,302,0
463,Hippurate,303,0
464,Hippurate,304,0
465,Hippurate,305,0
466,Hippurate,306,0
467,Hippurate,307,0
468,Hippurate,308,0
469,Hippurate,309,0
470,Hippurate,310,0
471,Hippurate,311,0
472,Hippurate,312,0
473,Hippurate,313,0
474,Hippurate,314,0
475,Hippurate,315,0
476,Hippurate,316,0
477,Hippurate,317,0
478,Hippurate,318,0
479,Hippurate,319,0
480,Hippurate,320,0
481,Hippurate,321,0
482,Hippurate,322,0
483,Hippurate,323,0
484,Hippurate,324,0
485,Hippurate,325,0
486,Hippurate,326,0
487,Hippurate,327,0
488,Hippurate,328,0
489,Hippurate,329,0
490,Hippurate,330,0
491,Hippurate,331,0
492,Hippurate,332,0
493,Hippurate,333,0
494,Hippurate,334,0
495,Hippurate,335,0
496,Histidine,6,0
497,Histidine,7,0
498,Histidine,8,0
499,Isoleucine,4,0
500,Isopropanol,2186,0
501,Isopropanol,2187,0
502,Isopropanol,2188,0
503,Isopropanol,2189,0
504,Isopropanol,2190,0
505,Isopropanol,2191,0
506,Isopropanol,2192,0
507,Isopropanol,2193,0
508,Isopropanol,2194,0
509,Isopropanol,2195,0
510,Isopropanol,2196,0
511,Isopropanol,2197,0
512,Isopropanol,2198,0
513,Isopropanol,2199,0
514,Isopropanol,2200,0
515,Isopropanol,2201,0
516,Isopropanol,2202,0
517,Isopropanol,2203,0
518,Isopropanol,2204,0
519,Isopropanol,2205,0
520,Isopropanol,2206,0
521,Isopropanol,2207,0
522,Isopropanol,2208,0
523,Isopropanol,2209,0
524,Isopropanol,2210,0
525,Isopropanol,2211,0
526,Isopropanol,2212,0
527,Isopropanol,2213,0
528,Isopropanol,2214,0
529,Isopropanol,2215,0
530,Isopropanol,2216,0
531,Isopropanol,2217,0
532,Isopropanol,2218,0
533,Isopropanol,2219,0
534,Isopropanol,2220,0
535,Isopropanol,2221,0
536,Isopropanol,2222,0
537,Isopropanol,2223,0
538,Isopropanol,2224,0
539,Isopropanol,2225,0
540,Isopropanol,2226,0
541,Isopropanol,2227,0
542,Isopropanol,2228,0
543,Isopropanol,2229,0
544,Isopropanol,2230,0
545,Isopropanol,2231,0
546,Isopropanol,2232,0
547,Isopropanol,2233,0
548,Isopropanol,2234,0
549,Isopropanol,2235,0
550,Isopropanol,2236,0
551,Isopropanol,2237,0
552,Isopropanol,2238,0
553,Isopropanol,2239,0
554,Isopropanol,2240,0
555,Isopropanol,2241,0
556,Isopropanol,2242,0
557,Isopropanol,2243,0
558,Isopropanol,2244,0
559,Isopropanol,2245,0
560,Isopropanol,2246,0
561,Isopropanol,2247,0
562,Isopropanol,2248,0
563,Isopropanol,2249,0
564,Isopropanol,2250,0
565,Isopropanol,2251,0
566,Isopropanol,2252,0
567,Isopropanol,2253,0
568,Isopropanol,2254,0
569,Isopropanol,2255,0
570,Isopropanol,2256,0
571,Isopropanol,2257,0
572,Isopropanol,2258,0
573,Isopropanol,2259,0
574,Isopropanol,2260,0
575,Isopropanol,2261,0
576,Isopropanol,2262,0
577,Isopropanol,2263,0
578,Isopropanol,2264,0
579,Isopropanol,2265,0
580,Isopropanol,2266,0
581,Isopropanol,2267,0
582,Isopropanol,2268,0
583,Isopropanol,2269,0
584,Isopropanol,2270,0
585,Isopropanol,2271,0
586,Isopropanol,2272,0
587,Isopropanol,2273,0
588,Isopropanol,2274,0
589,Isopropanol,2275,0
590,Isopropanol,2276,0
591,Isopropanol,2277,0
592,Isopropanol,2278,0
593,Isopropanol,2279,0
594,Isopropanol,2280,0
595,Isopropanol,2281,0
596,Isopropanol,2282,0
597,Isopropanol,2283,0
598,Isopropanol,2284,0
599,Isopropanol,2285,0
600,Isopropanol,2286,0
601,Isopropanol,2287,0
602,Isopropanol,2288,0
603,Isopropanol,2289,0
604,Isopropanol,2290,0
605,Isopropanol,2291,0
606,Isopropanol,2292,0
607,Isopropanol,2293,0
608,Isopropanol,2294,0
609,Isopropanol,2295,0
610,Isopropanol,2296,0
611,Isopropanol,2297,0
612,Isopropanol,2298,0
613,Isopropanol,2299,0
614,Isopropanol,2300,0
615,Isopropanol,2301,0
616,Isopropanol,2302,0
617,Isopropanol,2303,0
618,Isopropanol,2304,0
619,Isopropanol,2305,0
620,Isopropanol,2306,0
621,Isopropanol,2307,0
622,Isopropanol,2308,0
623,Isopropanol,2309,0
624,Isopropanol,2310,0
625,Isopropanol,2311,0
626,Isopropanol,2312,0
627,Isopropanol,2313,0
628,Isopropanol,2314,0
629,Isopropanol,2315,0
630,Isopropanol,2316,0
631,Isopropanol,2317,0
632,Isopropanol,2318,0
633,Isopropanol,2319,0
634,Isopropanol,2320,0
635,Isopropanol,2321,0
636,Isopropanol,2322,0
637,Isopropanol,2323,0
638,Isopropanol,2324,0
639,Isopropanol,2325,0
640,Isopropanol,2326,0
641,Isopropanol,2327,0
642,Isopropanol,2328,0
643,Isopropanol,2329,0
644,Isopropanol,2330,0
645,Isopropanol,2331,0
646,Isopropanol,2332,0
647,Isopropanol,2333,0
648,Isopropanol,2334,0
649,Isopropanol,2335,0
650,Isopropanol,2336,0
651,Isopropanol,2337,0
652,Isopropanol,2338,0
653,Isopropanol,2339,0
654,Isopropanol,2340,0
655,Isopropanol,2341,0
656,Isopropanol,2342,0
657,Isopropanol,2343,0
658,Isopropanol,2344,0
659,Isopropanol,2345,0
660,Isopropanol,2346,0
661,Isopropanol,2347,0
662,Isopropanol,2348,0
663,Isopropanol,2349,0
664,Isopropanol,2350,0
665,Isopropanol,2351,0
666,Isopropanol,2352,0
667,Isopropanol,2353,0
668,Isopropanol,2354,0
669,Isopropanol,2355,0
670,Isopropanol,2356,0
671,Isopropanol,2357,0
672,Isopropanol,2358,0
673,Isopropanol,2359,0
674,Isopropanol,2360,0
675,Isopropanol,2361,0
676,Isopropanol,2362,0
677,Isopropanol,2363,0
678,Isopropanol,2364,0
679,Isopropanol,2365,0
680,Isopropanol,2366,0
681,Isopropanol,2367,0
682,Isopropanol,2368,0
683,Isopropanol,2369,0
684,Isopropanol,2370,0
685,Isopropanol,2371,0
686,Isopropanol,2372,0
687,Isopropanol,2373,0
688,Isopropanol,2374,0
689,Isopropanol,2375,0
690,Isopropanol,2376,0
691,Isopropanol,2377,0
692,Isopropanol,2378,0
693,Isopropanol,2379,0
694,Isopropanol,2380,0
695,Isopropanol,2381,0
696,Isopropanol,2382,0
697,Isopropanol,2383,0
698,Isopropanol,2384,0
699,Isopropanol,2385,0
700,Isopropanol,2386,0
701,Isopropanol,2387,0
702,Isopropanol,2388,0
703,Isopropanol,2389,0
704,Isopropanol,2390,0
705,Isopropanol,2391,0
706,Isopropanol,2392,0
707,Isopropanol,2393,0
708,Isopropanol,2394,0
709,Isopropanol,2395,0
710,Isopropanol,2396,0
711,Isopropanol,2397,0
712,Isopropanol,2398,0
713,Isopropanol,2399,0
714,Isopropanol,2400,0
715,Isopropanol,2401,0
716,Isopropanol,2402,0
717,Isopropanol,2403,0
718,Isopropanol,2404,0
719,Isopropanol,2405,0
720,Isopropanol,2406,0
721,Isopropanol,2407,0
722,Isopropanol,2408,0
723,Isopropanol,2409,0
724,Isopropanol,2410,0
725,Isopropanol,2411,0
726,Isopropanol,2412,0
727,Isopropanol,2413,0
728,Isopropanol,2414,0
729,Isopropanol,2415,0
730,Isopropanol,2416,0
731,Isopropanol,2417,0
732,Isopropanol,2418,0
733,Isopropanol,2419,0
734,Isopropanol,2420,0
735,Isopropanol,2421,0
736,Isopropanol,2422,0
737,Isopropanol,2423,0
738,Isopropanol,2424,0
739,Isopropanol,2425,0
740,Isopropanol,2426,0
741,Isopropanol,2427,0
742,Isopropanol,2428,0
743,Isopropanol,2429,0
744,Isopropanol,2430,0
745,Isopropanol,2431,0
746,Isopropanol,2432,0
747,Isopropanol,2433,0
748,Isopropanol,2434,0
749,Isopropanol,2435,0
750,Isopropanol,2436,0
751,Isopropanol,2437,0
752,Isopropanol,2438,0
753,Isopropanol,2439,0
754,Isopropanol,2440,0
755,Isopropanol,2441,0
756,Isopropanol,2442,0
757,Isopropanol,2443,0
758,Isopropanol,2444,0
759,Isopropanol,2445,0
760,Isopropanol,2446,0
761,Isopropanol,2447,0
762,Isopropanol,2448,0
763,Isopropanol,2449,0
764,Isopropanol,2450,0
765,Isopropanol,2451,0
766,Isopropanol,2452,0
767,Isopropanol,2453,0
768,Isopropanol,2454,0
769,Isopropanol,2455,0
770,Isopropanol,2456,0
771,Isopropanol,2457,0
772,Isopropanol,2458,0
773,Isopropanol,2459,0
774,Isopropanol,2460,0
775,Isopropanol,2461,0
776,Isopropanol,2462,0
777,Isopropanol,2463,0
778,Isopropanol,2464,0
779,Isopropanol,2465,0
780,Isopropanol,2466,0
781,Isopropanol,2467,0
782,Isopropanol,2468,0
783,Isopropanol,2469,0
784,Isopropanol,2470,0
785,Isopropanol,2471,0
786,Isopropanol,2472,0
787,Isopropanol,2473,0
788,Isopropanol,2474,0
789,Isopropanol,2475,0
790,Isopropanol,2476,0
791,Isopropanol,2477,0
792,Isopropanol,2478,0
793,Isopropanol,2479,0
794,Isopropanol,2480,0
795,Isopropanol,2481,0
796,Isopropanol,2482,0
797,Isopropanol,2483,0
798,Isopropanol,2484,0
799,Isopropanol,2485,0
800,Isopropanol,2486,0
801,Isopropanol,2487,0
802,Isopropanol,2488,0
803,Isopropanol,2489,0
804,Isopropanol,2490,0
805,Isopropanol,2491,0
806,Isopropanol,2492,0
807,Isopropanol,2493,0
808,Isopropanol,2494,0
809,Isopropanol,2495,0
810,Isopropanol,2496,0
811,Isopropanol,2497,0
812,Isopropanol,2498,0
813,Isopropanol,2499,0
814,Isopropanol,2500,0
815,Isopropanol,2501,0
816,Isopropanol,2502,0
817,Isopropanol,2503,0
818,Isopropanol,2504,0
819,Isopropanol,2505,0
820,Isopropanol,2506,0
821,Isopropanol,2507,0
822,Isopropanol,2508,0
823,Isopropanol,2509,0
824,Isopropanol,2510,0
825,Isopropanol,2511,0
826,Isopropanol,2512,0
827,Isopropanol,2513,0
828,Isopropanol,2514,0
829,Isopropanol,2515,0
830,Isopropanol,2516,0
831,Isopropanol,2517,0
832,Isopropanol,2518,0
833,Isopropanol,2519,0
834,Isopropanol,2520,0
835,Isopropanol,2521,0
836,Isopropanol,2522,0
837,Isopropanol,2523,0
838,Isopropanol,2524,0
839,Isopropanol,2525,0
840,Isopropanol,2526,0
841,Isopropanol,2527,0
842,Isopropanol,2528,0
843,Isopropanol,2529,0
844,Isopropanol,2530,0
845,Isopropanol,2531,0
846,Isopropanol,2532,0
847,Isopropanol,2533,0
848,Isopropanol,2534,0
849,Isopropanol,2535,0
850,Isopropanol,2536,0
851,Isopropanol,2537,0
852,Isopropanol,2538,0
853,Isopropanol,2539,0
854,Isopropanol,2540,0
855,Isopropanol,2541,0
856,Isopropanol,2542,0
857,Isopropanol,2543,0
858,Isopropanol,2544,0
859,Isopropanol,2545,0
860,Isopropanol,2546,0
861,Isopropanol,2547,0
862,Isopropanol,2548,0
863,Isopropanol,2549,0
864,Isopropanol,2550,0
865,Isopropanol,2551,0
866,Isopropanol,2552,0
867,Isopropanol,2553,0
868,Isopropanol,2554,0
869,Isopropanol,2555,0
870,Isopropanol,2556,0
871,Isopropanol,2557,0
872,Isopropanol,2558,0
873,Isopropanol,2559,0
874,Isopropanol,2560,0
875,Isopropanol,2561,0
876,Isopropanol,2562,0
877,Isopropanol,2563,0
878,Isopropanol,2564,0
879,Isopropanol,2565,0
880,Isopropanol,2566,0
881,Isopropanol,2567,0
882,Isopropanol,2568,0
883,Isopropanol,2569,0
884,Isopropanol,2570,0
885,Isopropanol,2571,0
886,Isopropanol,2572,0
887,Isopropanol,2573,0
888,Isopropanol,2574,0
889,Isopropanol,2575,0
890,Isopropanol,2576,0
891,Isopropanol,2577,0
892,Isopropanol,2578,0
893,Isopropanol,2579,0
894,Isopropanol,2580,0
895,Isopropanol,2581,0
896,Isopropanol,2582,0
897,Isopropanol,2583,0
898,Isopropanol,2584,0
899,Isopropanol,2585,0
900,Isopropanol,2586,0
901,Isopropanol,2587,0
902,Isopropanol,2588,0
903,Isopropanol,2589,0
904,Isopropanol,2590,0
905,Isopropanol,2591,0
906,Isopropanol,2592,0
907,Isopropanol,2593,0
908,Isopropanol,2594,0
909,Isopropanol,2595,0
910,Isopropanol,2596,0
911,Isopropanol,2597,0
912,Isopropanol,2598,0
913,Isopropanol,2599,0
914,Isopropanol,2600,0
915,Isopropanol,2601,0
916,Isopropanol,2602,0
917,Isopropanol,2603,0
918,Isopropanol,2604,0
919,Isopropanol,2605,0
920,Isopropanol,2606,0
921,Isopropanol,2607,0
922,Isopropanol,2608,0
923,Isopropanol,2609,0
924,Isopropanol,2610,0
925,Isopropanol,2611,0
926,Isopropanol,2612,0
927,Isopropanol,2613,0
928,Isopropanol,2614,0
929,Isopropanol,2615,0
930,Isopropanol,2616,0
931,Isopropanol,2617,0
932,Isopropanol,2618,0
933,Isopropanol,2619,0
934,Isopropanol,2620,0
935,Isopropanol,2621,0
936,Isopropanol,2622,0
937,Isopropanol,2623,0
938,Isopropanol,2624,0
939,Isopropanol,2625,0
940,Isopropanol,2626,0
941,Isopropanol,2627,0
942,Isopropanol,2628,0
943,Isopropanol,2629,0
944,Isopropanol,2630,0
945,Isopropanol,2631,0
946,Isopropanol,2632,0
947,Isopropanol,2633,0
948,Isopropanol,2634,0
949,Isopropanol,2635,0
950,Isopropanol,2636,0
951,Isopropanol,2637,0
952,Isopropanol,2638,0
953,Isopropanol,2639,0
954,Isopropanol,2640,0
955,Isopropanol,2641,0
956,Isopropanol,2642,0
957,Isopropanol,2643,0
958,Isopropanol,2644,0
959,Isopropanol,2645,0
960,Isopropanol,2646,0
961,Isopropanol,2647,0
962,Isopropanol,2648,0
963,Isopropanol,2649,0
964,Isopropanol,2650,0
965,Isopropanol,2651,0
966,Isopropanol,2652,0
967,Isopropanol,2653,0
968,Isopropanol,2654,0
969,Isopropanol,2655,0
970,Isopropanol,2656,0
971,Isopropanol,2657,0
972,Isopropanol,2658,0
973,Isopropanol,2659,0
974,Isopropanol,2660,0
975,Isopropanol,2661,0
976,Isopropanol,2662,0
977,Isopropanol,2663,0
978,Isopropanol,2664,0
979,Isopropanol,2665,0
980,Isopropanol,2666,0
981,Isopropanol,2667,0
982,Isopropanol,2668,0
983,Isopropanol,2669,0
984,Isopropanol,2670,0
985,Isopropanol,2671,0
986,Isopropanol,2672,0
987,Kynurenate,46,0
988,Kynurenate,47,0
989,Kynurenate,48,0
990,Kynurenate,49,0
991,Kynurenate,50,0
992,Kynurenate,51,0
993,Kynurenate,52,0
994,Kynurenate,53,0
995,Kynurenate,54,0
996,Kynurenate,55,0
997,Kynurenate,56,0
998,Lactate,973,0
999,Lactate,974,0
1000,Lactate,975,0
1001,Lactate,976,0
1002,Lactate,977,0
1003,Lactate,978,0
1004,Lactate,979,0
1005,Lactate,980,0
1006,Lactate,981,0
1007,Lactate,982,0
1008,Lactate,983,0
1009,Lactate,984,0
1010,Lactate,985,0
1011,Lactate,986,0
1012,Lactate,987,0
1013,Lactate,988,0
1014,Lactate,989,0
1015,Lactate,990,0
1016,Lactate,991,0
1017,Lactate,992,0
1018,Lactate,993,0
1019,Lactate,994,0
1020,Lactate,995,0
1021,Lactate,996,0
1022,Lactate,997,0
1023,Lactate,998,0
1024,Lactate,999,0
1025,Lactate,1000,0
1026,Lactate,1001,0
1027,Lactate,1002,0
1028,Lactate,1003,0
1029,Lactate,1004,0
1030,Lactate,1005,0
1031,Lactate,1006,0
1032,Lactate,1007,0
1033,Lactate,1008,0
1034,Lactate,1009,0
1035,Lactate,1010,0
1036,Lactate,1011,0
1037,Lactate,1012,0
1038,Lactate,1013,0
